对应验收清单ID,测试轮次,测试角色,设备,页面/入口,复现步骤,当前结果,预期结果,截图/录屏,是否稳定复现,是否阻塞验收,待你确认点,状态,问题类型
2-ONBOARDING-RECOVERY,2026-04-09 最终收口,游客,Pixel 7 移动模拟,/explore,"首次进入 /explore -> 跳过 intro -> 选择省份 -> 点击 先自己逛逛 -> 再次进入 /explore","已出现 继续引导 轻量入口；不再提醒 也已独立通过","关闭后不强弹，但应保留轻量入口恢复引导","N/A（2026-04-09 manual-mobile + app 回归通过）",否,否,无,Resolved,产品问题已修复
3-LOGIN-RETURN-FLOW,2026-04-09 最终收口,游客->新注册用户,Desktop Chrome,/trek?mountainId=...,"游客访问受保护 Trek -> 登录/注册 -> 完成建档","E2E 基线已更新，回跳后先进入目标山峰确认面板，再进入 Start","应按新方案更新为“先确认目标山峰，再开始记录”","N/A（2026-04-09 app.spec 16/16 通过）",否,否,无,Resolved,自动化基线已更新
4-DETAIL-CTA-REACHABILITY,2026-04-09 最终收口,游客,Pixel 7 移动模拟,/explore/[id],"打开山峰详情页并滚动页面","已收敛为页面内主 CTA + 滚动后出现的悬浮入口，目标山峰上下文保持一致","应明确是一个主 CTA + 一个清晰的悬浮入口","/Users/liuhongyuan/Desktop/peak-trekker/test-results/manual-mobile-mobile-explo-61075--stable-from-list-to-detail/mobile-explore-detail-scrolled.png",否,否,无,Resolved,产品判断已落地
7-TREK-PHOTO-UPLOAD-FAIL,2026-04-09 最终收口,新注册普通用户,Desktop Chrome,/trek 照片打卡,"进入 Trek -> 展开 照片打卡 -> 上传 network-failure.png -> 提交","已出现 图片上传失败，请稍后重试。","网络失败时应出现明确失败反馈","N/A（2026-04-09 coverage-gap 9/9 通过）",否,否,无,Resolved,产品问题已修复
7-TREK-STORAGE-MISSING,2026-04-09 最终收口,新注册普通用户,Desktop Chrome,/trek 照片打卡,"进入 Trek -> 展开 照片打卡 -> 上传 bucket-missing.png -> 提交","已出现 当前环境未配置图片存储，请联系管理员补齐存储配置。","缺少存储桶时应明确提示这是环境配置问题","N/A（2026-04-09 coverage-gap 9/9 通过）",否,否,无,Resolved,产品问题已修复
8-TREK-SHARE-SUCCESS,2026-04-09 最终收口,新注册普通用户,Desktop Chrome,/trek 成功态,"成功登顶 -> 生成分享卡 -> 预览分享卡 -> 分享 / 下载兜底","已出现成功反馈，分享按钮命中清晰，下载兜底链路可走通","结果卡预览后应出现成功反馈，并能继续完成下载/分享兜底","/Users/liuhongyuan/Desktop/peak-trekker/test-results/manual-mobile-mobile-happy-95726-mmunity-and-back-to-profile/mobile-happy-path-poster-preview.png",否,否,无,Resolved,产品问题已修复
8-TREK-IN-PROGRESS-SHARE,2026-04-09 最终收口,新注册普通用户,Desktop Chrome,/trek 录制中,"开始记录 -> 使用 分享当前进度 -> 系统分享不可用时回退","录制中轻量过程分享可用，且存在明确兜底","过程分享应可生成当前进度分享卡，并支持系统分享/保存/复制兜底","N/A（2026-04-09 coverage-gap 9/9 通过）",否,否,无,Resolved,产品问题已修复
9-PROFILE-AVATAR-REFRESH,2026-04-09 最终收口,新注册普通用户,Desktop Chrome,/profile,"进入 profile -> 更换头像","supplemental、manual-mobile、community-acceptance 三条链路都已稳定通过","头像替换应稳定刷新，并出现统一成功反馈","N/A（2026-04-09 acceptance + coverage-gap + manual-mobile 通过）",否,否,无,Resolved,产品问题已修复
10-PROFILE-SHARE-DETAIL,2026-04-09 最终收口,已有记录普通用户,Desktop Chrome,/profile -> 我的登山记录,"展开记录区 -> 点击 查看分享详情","已进入 /community/[postId] 详情页","应进入对应的山友圈详情页","/Users/liuhongyuan/Desktop/peak-trekker/test-results/manual-mobile-mobile-happy-95726-mmunity-and-back-to-profile/mobile-happy-path-community-detail.png",否,否,无,Resolved,产品问题已修复
10-PROFILE-POSTER-CARRY,2026-04-09 最终收口,已有记录普通用户,Desktop Chrome,/profile -> 社区发布页,"从有 poster 的记录点击 分享到山友圈","进入发布页后已出现 poster 初始素材，并作为封面候选","已有海报应自动带入发布页，并作为初始素材/封面候选","N/A（2026-04-09 coverage-gap 9/9 + community-acceptance 7/7 通过）",否,否,无,Resolved,产品问题已修复
11-13-COMMUNITY-AUTO-COVERAGE,2026-04-09 最终收口,QA/管理员,Desktop Chrome,/community /admin/community,"使用独立 Chrome runner 完成 acceptance / regression / delete 正式回归","社区正式自动化已全部完成执行，不再存在环境阻塞","不再把社区正式自动化视为本机环境阻塞项","N/A（2026-04-09 acceptance 7/7、regression 1/1、delete 1/1 通过）",否,否,无,Resolved,环境问题已解除
11-COMMUNITY-IMMEDIATE-PUBLISH-BASELINE,2026-04-09 最终收口,新注册普通用户,Desktop Chrome,/trek -> 成功态直接发山友圈,"运行 community-acceptance immediate publish path","E2E 基线已更新，Trek 会先进入目标确认 preflight，再开始记录","应改成当前 preflight 确认模式后再开始记录","N/A（2026-04-09 community-acceptance 7/7 通过）",否,否,无,Resolved,自动化基线已更新
11-COMMUNITY-PRIVATE-PUBLISH,2026-04-09 最终收口,已有记录普通用户,Desktop Chrome,/community/publish/[checkinId],"创建私密动态并发布","私密动态发布成功，且私密内容边界回归通过","私密动态发布后应给出明确成功反馈，再进入详情页","N/A（2026-04-09 community-acceptance 7/7 通过）",否,否,无,Resolved,产品问题已修复
12-COMMUNITY-VIEW-FULL-POST,2026-04-09 最终收口,第二普通用户,Pixel 7 移动模拟,/community,"打开公开流卡片","卡片中已出现 查看完整动态 入口，且样式与标签区分","应提供明确的详情入口，且样式应与标签区分","/Users/liuhongyuan/Desktop/peak-trekker/test-results/manual-mobile-mobile-commu-859a5-ps-cards-and-actions-stable/mobile-community.png",否,否,无,Resolved,产品问题已修复
13-COMMUNITY-LIKE-FEEDBACK,2026-04-09 最终收口,第二普通用户,Desktop Chrome,/community,"公开流卡片点击 点赞 -> 查看点赞列表","已出现点赞反馈，点赞名册面板也可稳定打开","点赞后应有明确反馈，并能查看点赞用户","N/A（2026-04-09 coverage-gap 9/9 通过）",否,否,无,Resolved,产品问题已修复
